경기도,부천시,부천역곡초등학교,746,126.80798416235854,37.490592406092084,
경기도,부천시,약대초등학교,2821,126.77305251823974,37.51314412469496,
경기도,부천시,부천초등학교,6451,126.76522979880293,37.51457012277087,
경기도,부천시,부천신흥초등학교,8151,126.78460058476159,37.50658455168424,
경기도,부천시,부천종합운동장,70925,126.79942285934301,37.50355781055974,
경기도,부천시,도당초등학교,1353,126.79162698176056,37.519317711536765,
경기도,부천시,먹적골어린이공원,3974,126.77335917949418,37.490680836633025,
인천광역시,미추홀구,문학정보고등학교 운동장,3630,126.68649529896399,37.43531972375563,
경기도,부천시,은행공원,4529,126.7906191945021,37.496386336398054,
인천광역시,미추홀구,산성어린이공원,2083,126.68664169705694,37.43479176201413,
인천광역시,미추홀구,인천문학초등학교운동장,7368,126.68288252529295,37.43935284772379,
인천광역시,미추홀구,숭의초등학교 운동장,5406,126.65478719144912,37.46354813046491,
인천광역시,미추홀구,수봉근린공원,281790,126.66288066640396,37.45982089572194,
인천광역시,미추홀구,인천남중학교 운동장,9232,126.6541392239068,37.46462106934627,
인천광역시,미추홀구,인항고등학교 운동장,6894,126.640705,37.446398,
인천광역시,미추홀구,용정초등학교운동장,11734,126.65755456943621,37.45970664314022,
인천광역시,미추홀구,용현여자중학교 운동장,7947,126.640424,37.448871,
인천광역시,미추홀구,용학초등학교 운동장,3268,126.643309,37.694476,
인천광역시,미추홀구,용일초등학교운동장,11002,126.663498342762,37.452794654600474,
인천광역시,미추홀구,용현중학교 운동장,8505,126.63907956066035,37.44758850700733,
인천광역시,미추홀구,정석항공과학고등학교운동장,14357,126.65453121905193,37.449743785911,
인천광역시,미추홀구,인하대학교대운동장,320879,126.65453121905193,37.449743785911,
인천광역시,미추홀구,용현초등학교운동장,8246,126.6414793329009,37.45326390078829,
경상남도,진주시,무지개초등학교 운동장,2392,128.13730123712136,35.171815507714236,
경상남도,진주시,갈전초등학교 운동장,3015,128.14898990360643,35.18288937209548,
경상남도,진주시,은하수초등학교 운동장,2168,128.1112,35.1515,
경상남도,진주시,정촌초등학교 운동장,2783,128.10868528223506,35.16018892759599,
경상남도,진주시,개양중학교 운동장,3548,128.1097926974604,35.16012708571098,
경상남도,진주시,가좌초등학교 운동장,4443,128.10347026003498,35.149154512311576,
경상남도,진주시,평거초등학교 운동장,9759,128.04518266784513,35.16902475236291,
경상남도,진주시,촉석초등학교 운동장,13282,128.06205386688362,35.190706192935245,
경상남도,진주시,서진초등학교 운동장,3129,128.05703948364953,35.168937941776235,
경상남도,진주시,진주제일중학교 운동장,4835,128.0670219490872,35.1752111284866,
경상남도,진주시,수정초등학교 운동장,3201,128.04862948235873,35.165157752438496,
경상남도,진주시,배영초등학교 운동장,3587,128.06735925523935,35.17615373708788,
경상남도,진주시,신진초등학교 운동장,4295,128.06621222186735,35.17463189443927,
인천광역시,계양구,작전중학교 운동장,4345,126.72961542229467,37.533331117813596,
인천광역시,계양구,계산공업고등학교 운동장,4762,126.739424026165,37.53445433352863,
인천광역시,계양구,작전공원 1,7995,126.72570657587873,37.52623008793687,
인천광역시,계양구,계산체육공원,18871,126.72958455045159,37.54493840600702,
인천광역시,계양구,계산초등학교 운동장,4734,126.7180285959248,37.54446935971357,
